#entry	protocol	version	Nmodel	pLDDT	pTMScore	ipTMScore	CombinedScore	Length
2_6G04	single_pep-delim-100	2	3	69.4	0.637	0.774	0.747	271
2_6G04	single_pep-delim-100	2	4	63,	0.591	0.213	0.289	271
2_6G04	single_pep-delim-100	2	5	69.5	0.677	0.826	0.796	271
2_6G04	single_pep-delim-100	2	1	70.2	0.645	0.838	0.799	271
2_6G04	single_pep-delim-100	2	2	62.4	0.594	0.3	0.359	271
2_6G04	single_pep-delim-200	2	3	68.1	0.652	0.8	0.770	271
2_6G04	single_pep-delim-200	2	4	62.9	0.592	0.218	0.293	271
2_6G04	single_pep-delim-200	2	5	68.8	0.654	0.815	0.783	271
2_6G04	single_pep-delim-200	2	1	65.9	0.6	0.222	0.298	271
2_6G04	single_pep-delim-200	2	2	61.9	0.607	0.237	0.311	271
2_6G04	mixed_ali-delim-delim	3	3	91.7	0.87	0.892	0.888	172
2_6G04	mixed_ali-delim-delim	3	4	92.7	0.878	0.906	0.900	172
2_6G04	mixed_ali-delim-delim	3	5	88.9	0.838	0.848	0.846	172
2_6G04	mixed_ali-delim-delim	3	1	93.4	0.883	0.915	0.909	172
2_6G04	mixed_ali-delim-delim	3	2	93.1	0.882	0.922	0.914	172
2_6G04	mixed_ali-fl-fl	3	3	75.2	0.713	0.688	0.693	324
2_6G04	mixed_ali-fl-fl	3	4	73.2	0.71	0.694	0.697	324
2_6G04	mixed_ali-fl-fl	3	5	73.1	0.712	0.689	0.694	324
2_6G04	mixed_ali-fl-fl	3	1	74.3	0.701	0.689	0.691	324
2_6G04	mixed_ali-fl-fl	3	2	74.9	0.713	0.692	0.696	324
2_6G04	mixed_ali-delim-fl	3	3	80.4	0.778	0.81	0.804	271
2_6G04	mixed_ali-delim-fl	3	4	79.5	0.781	0.809	0.803	271
2_6G04	mixed_ali-delim-fl	3	5	79.7	0.783	0.818	0.811	271
2_6G04	mixed_ali-delim-fl	3	1	80,	0.771	0.826	0.815	271
2_6G04	mixed_ali-delim-fl	3	2	81,	0.784	0.816	0.810	271
2_6G04	mixed_ali-delim-100	3	3	81.2	0.784	0.809	0.804	271
2_6G04	mixed_ali-delim-100	3	4	79.9	0.785	0.816	0.810	271
2_6G04	mixed_ali-delim-100	3	5	80.3	0.786	0.831	0.822	271
2_6G04	mixed_ali-delim-100	3	1	80.7	0.79	0.835	0.826	271
2_6G04	mixed_ali-delim-100	3	2	81.7	0.789	0.827	0.819	271
2_6G04	mixed_ali-delim-200	3	3	80.7	0.781	0.81	0.804	271
2_6G04	mixed_ali-delim-200	3	4	78.4	0.772	0.795	0.790	271
2_6G04	mixed_ali-delim-200	3	5	79.8	0.783	0.828	0.819	271
2_6G04	mixed_ali-delim-200	3	1	80.3	0.771	0.818	0.809	271
2_6G04	mixed_ali-delim-200	3	2	81.5	0.787	0.822	0.815	271
2_6G04	unpaired_ali-delim-delim	3	3	87.4	0.834	0.735	0.755	172
2_6G04	unpaired_ali-delim-delim	3	4	87.8	0.83	0.781	0.791	172
2_6G04	unpaired_ali-delim-delim	3	5	87.7	0.83	0.785	0.794	172
2_6G04	unpaired_ali-delim-delim	3	1	88.6	0.833	0.72	0.743	172
2_6G04	unpaired_ali-delim-delim	3	2	88.4	0.838	0.785	0.796	172
2_6G04	unpaired_ali-delim-fl	3	3	81.5	0.786	0.797	0.795	271
2_6G04	unpaired_ali-delim-fl	3	4	79,	0.775	0.813	0.805	271
2_6G04	unpaired_ali-delim-fl	3	5	80,	0.777	0.809	0.803	271
2_6G04	unpaired_ali-delim-fl	3	1	79.3	0.768	0.804	0.797	271
2_6G04	unpaired_ali-delim-fl	3	2	79.6	0.768	0.775	0.774	271
2_6G04	single_pep-delim-delim	3	3	91.6	0.87	0.889	0.885	172
2_6G04	single_pep-delim-delim	3	4	93.6	0.892	0.908	0.905	172
2_6G04	single_pep-delim-delim	3	5	92.2	0.871	0.891	0.887	172
2_6G04	single_pep-delim-delim	3	1	93.5	0.886	0.906	0.902	172
2_6G04	single_pep-delim-delim	3	2	93.3	0.887	0.899	0.897	172
2_6G04	single_pep-delim-100	3	3	68.4	0.645	0.791	0.762	271
2_6G04	single_pep-delim-100	3	4	62.6	0.587	0.2	0.277	271
2_6G04	single_pep-delim-100	3	5	73.4	0.712	0.825	0.802	271
2_6G04	single_pep-delim-100	3	1	70.8	0.654	0.834	0.798	271
2_6G04	single_pep-delim-100	3	2	61.6	0.601	0.223	0.299	271
2_6G04	single_pep-delim-200	3	3	69.6	0.65	0.803	0.772	271
2_6G04	single_pep-delim-200	3	4	67.3	0.635	0.748	0.725	271
2_6G04	single_pep-delim-200	3	5	68.2	0.634	0.816	0.780	271
2_6G04	single_pep-delim-200	3	1	70.3	0.655	0.836	0.800	271
2_6G04	single_pep-delim-200	3	2	61.6	0.597	0.203	0.282	271
2_6G04	mixed_ali-delim-delim	4	3	88,	0.836	0.842	0.841	172
2_6G04	mixed_ali-delim-delim	4	4	92.5	0.876	0.904	0.898	172
2_6G04	mixed_ali-delim-delim	4	5	88.3	0.831	0.838	0.837	172
2_6G04	mixed_ali-delim-delim	4	1	93.6	0.885	0.917	0.911	172
2_6G04	mixed_ali-delim-delim	4	2	92.5	0.876	0.917	0.909	172
2_6G04	mixed_ali-fl-fl	4	3	75,	0.715	0.693	0.697	324
2_6G04	mixed_ali-fl-fl	4	4	73.5	0.713	0.7	0.703	324
2_6G04	mixed_ali-fl-fl	4	5	73.2	0.711	0.69	0.694	324
2_6G04	mixed_ali-fl-fl	4	1	74.4	0.713	0.689	0.694	324
2_6G04	mixed_ali-fl-fl	4	2	74.7	0.713	0.694	0.698	324
2_6G04	mixed_ali-delim-fl	4	3	80.7	0.781	0.804	0.799	271
2_6G04	mixed_ali-delim-fl	4	4	79.2	0.777	0.804	0.799	271
2_6G04	mixed_ali-delim-fl	4	5	80.1	0.775	0.825	0.815	271
2_6G04	mixed_ali-delim-fl	4	1	80.8	0.778	0.828	0.818	271
2_6G04	mixed_ali-delim-fl	4	2	81.8	0.79	0.827	0.820	271
2_6G04	mixed_ali-delim-100	4	3	80.5	0.776	0.803	0.798	271
2_6G04	mixed_ali-delim-100	4	4	79,	0.777	0.799	0.795	271
2_6G04	mixed_ali-delim-100	4	5	79.5	0.771	0.812	0.804	271
2_6G04	mixed_ali-delim-100	4	1	80.1	0.77	0.817	0.808	271
2_6G04	mixed_ali-delim-100	4	2	81.6	0.788	0.823	0.816	271
2_6G04	mixed_ali-delim-200	4	3	80.4	0.777	0.799	0.795	271
2_6G04	mixed_ali-delim-200	4	4	80,	0.79	0.831	0.823	271
2_6G04	mixed_ali-delim-200	4	5	79.8	0.772	0.823	0.813	271
2_6G04	mixed_ali-delim-200	4	1	80.2	0.773	0.825	0.815	271
2_6G04	mixed_ali-delim-200	4	2	81.5	0.787	0.826	0.818	271
2_6G04	unpaired_ali-delim-delim	4	3	87.1	0.83	0.742	0.760	172
2_6G04	unpaired_ali-delim-delim	4	4	89.2	0.846	0.805	0.813	172
2_6G04	unpaired_ali-delim-delim	4	5	88.1	0.83	0.786	0.795	172
2_6G04	unpaired_ali-delim-delim	4	1	88.3	0.828	0.723	0.744	172
2_6G04	unpaired_ali-delim-delim	4	2	89,	0.844	0.802	0.810	172
2_6G04	unpaired_ali-delim-fl	4	3	82.3	0.793	0.814	0.810	271
2_6G04	unpaired_ali-delim-fl	4	4	73.8	0.682	0.791	0.769	271
2_6G04	unpaired_ali-delim-fl	4	5	81.3	0.79	0.824	0.817	271
2_6G04	unpaired_ali-delim-fl	4	1	81.1	0.783	0.819	0.812	271
2_6G04	unpaired_ali-delim-fl	4	2	82.2	0.8	0.833	0.826	271
2_6G04	single_pep-delim-delim	4	3	91.3	0.865	0.887	0.883	172
2_6G04	single_pep-delim-delim	4	4	93.4	0.888	0.906	0.902	172
2_6G04	single_pep-delim-delim	4	5	92.1	0.869	0.89	0.886	172
2_6G04	single_pep-delim-delim	4	1	93,	0.88	0.903	0.898	172
2_6G04	single_pep-delim-delim	4	2	93.1	0.884	0.896	0.894	172
2_6G04	single_pep-delim-100	4	3	68,	0.636	0.786	0.756	271
2_6G04	single_pep-delim-100	4	4	63,	0.59	0.204	0.281	271
2_6G04	single_pep-delim-100	4	5	74.3	0.735	0.82	0.803	271
2_6G04	single_pep-delim-100	4	1	69.6	0.644	0.831	0.794	271
2_6G04	single_pep-delim-100	4	2	62.6	0.605	0.289	0.352	271
2_6G04	single_pep-delim-200	4	3	68.5	0.636	0.79	0.759	271
2_6G04	single_pep-delim-200	4	4	62.3	0.574	0.172	0.252	271
2_6G04	single_pep-delim-200	4	5	69.8	0.658	0.818	0.786	271
2_6G04	single_pep-delim-200	4	1	69.5	0.645	0.834	0.796	271
2_6G04	single_pep-delim-200	4	2	62,	0.596	0.208	0.286	271
2_6G04	mixed_ali-delim-delim	5	3	88.5	0.838	0.839	0.839	172
2_6G04	mixed_ali-delim-delim	5	4	92.6	0.876	0.903	0.898	172
2_6G04	mixed_ali-delim-delim	5	5	88.7	0.834	0.844	0.842	172
2_6G04	mixed_ali-delim-delim	5	1	93.5	0.882	0.917	0.910	172
2_6G04	mixed_ali-delim-delim	5	2	92.5	0.874	0.915	0.907	172
2_6G04	mixed_ali-fl-fl	5	3	74.9	0.713	0.692	0.696	324
2_6G04	mixed_ali-fl-fl	5	4	73,	0.709	0.693	0.696	324
2_6G04	mixed_ali-fl-fl	5	5	73,	0.706	0.688	0.692	324
2_6G04	mixed_ali-fl-fl	5	1	74.2	0.713	0.688	0.693	324
2_6G04	mixed_ali-fl-fl	5	2	75,	0.711	0.695	0.698	324
2_6G04	mixed_ali-delim-fl	5	3	80.1	0.774	0.81	0.803	271
2_6G04	mixed_ali-delim-fl	5	4	79.7	0.784	0.822	0.814	271
2_6G04	mixed_ali-delim-fl	5	5	79.7	0.772	0.82	0.810	271
2_6G04	mixed_ali-delim-fl	5	1	80,	0.781	0.828	0.819	271
2_6G04	mixed_ali-delim-fl	5	2	81.1	0.782	0.821	0.813	271
2_6G04	mixed_ali-delim-100	5	3	80.3	0.775	0.806	0.800	271
2_6G04	mixed_ali-delim-100	5	4	77.1	0.753	0.788	0.781	271
2_6G04	mixed_ali-delim-100	5	5	79.8	0.773	0.825	0.815	271
2_6G04	mixed_ali-delim-100	5	1	80,	0.781	0.828	0.819	271
2_6G04	mixed_ali-delim-100	5	2	81.6	0.789	0.827	0.819	271
2_6G04	mixed_ali-delim-200	5	3	80,	0.776	0.809	0.802	271
2_6G04	mixed_ali-delim-200	5	4	79,	0.777	0.809	0.803	271
2_6G04	mixed_ali-delim-200	5	5	80.1	0.785	0.832	0.823	271
2_6G04	mixed_ali-delim-200	5	1	80,	0.77	0.827	0.816	271
2_6G04	mixed_ali-delim-200	5	2	81.5	0.786	0.826	0.818	271
2_6G04	unpaired_ali-delim-delim	5	3	86.7	0.826	0.719	0.740	172
2_6G04	unpaired_ali-delim-delim	5	4	88.4	0.837	0.787	0.797	172
2_6G04	unpaired_ali-delim-delim	5	5	88.8	0.837	0.846	0.844	172
2_6G04	unpaired_ali-delim-delim	5	1	88.8	0.835	0.719	0.742	172
2_6G04	unpaired_ali-delim-delim	5	2	88.3	0.838	0.793	0.802	172
2_6G04	unpaired_ali-delim-fl	5	3	81.5	0.787	0.806	0.802	271
2_6G04	unpaired_ali-delim-fl	5	4	77.1	0.757	0.781	0.776	271
2_6G04	unpaired_ali-delim-fl	5	5	80.4	0.78	0.812	0.806	271
2_6G04	unpaired_ali-delim-fl	5	1	79.6	0.77	0.798	0.792	271
2_6G04	unpaired_ali-delim-fl	5	2	81.3	0.79	0.812	0.808	271
2_6G04	single_pep-delim-delim	5	3	91.2	0.864	0.883	0.879	172
2_6G04	single_pep-delim-delim	5	4	93.2	0.887	0.903	0.900	172
2_6G04	single_pep-delim-delim	5	5	92,	0.868	0.886	0.882	172
2_6G04	single_pep-delim-delim	5	1	93,	0.881	0.901	0.897	172
2_6G04	single_pep-delim-delim	5	2	92.8	0.88	0.891	0.889	172
2_6G04	single_pep-delim-100	5	3	68.8	0.624	0.768	0.739	271
2_6G04	single_pep-delim-100	5	4	62.8	0.59	0.202	0.280	271
2_6G04	single_pep-delim-100	5	5	70.1	0.654	0.818	0.785	271
2_6G04	single_pep-delim-100	5	1	70.5	0.645	0.839	0.800	271
2_6G04	single_pep-delim-100	5	2	62.8	0.6	0.314	0.371	271
2_6G04	single_pep-delim-200	5	3	68.6	0.648	0.801	0.770	271
2_6G04	single_pep-delim-200	5	4	62.9	0.588	0.199	0.277	271
2_6G04	single_pep-delim-200	5	5	70.4	0.656	0.823	0.790	271
2_6G04	single_pep-delim-200	5	1	69.4	0.645	0.825	0.789	271
2_6G04	single_pep-delim-200	5	2	62.7	0.602	0.289	0.352	271
